runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0610T011404Z_hsjVM1,epsilon,4,0.0001,0.5,8,8,4096,1,1,512,0.4820528996024545,0.4820528996024545
0610T010433Z_SZwZWR,epsilon,4,0.0001,50,64,2,4096,1,1,512,0.6923334459460903,0.6585345916378788
0610T014023Z_iDAChE,epsilon,4,0.0001,0.5,2,8,4096,1,1,512,0.5163662843404904,0.5163662843404904
0610T002455Z_syU8pJ,epsilon,3,0.0001,0.2,1024,16,4096,1,1,512,0.8680556859870977,0.8680556859870977
0610T012221Z_TwVrmo,epsilon,4,0.0001,0.01,1,128,4096,1,1,512,0.885944374920878,0.885944374920878
0517T004010Z_VOJ6wc,epsilon,1,0.0001,0.05,512,512,4096,1,1,16,0.714505222862298,0.714505222862298
0610T012136Z_ieIEoB,epsilon,4,0.0001,0.005,64,16,4096,1,1,512,0.8381114095540447,0.8381114095540447
0610T003601Z_2OOxDR,epsilon,3,0.0001,0.01,1024,64,4096,1,1,512,0.8903963288325905,0.8903963288325905
0610T010952Z_1gNreS,epsilon,4,0.0001,5,64,4,4096,1,1,512,0.4796759792286093,0.4788216910172
0609T235624Z_nXogoj,epsilon,3,0.0001,0.01,8,1,4096,1,1,512,0.8715320630187318,0.8715320630187318
0610T012355Z_oOoo9H,epsilon,4,0.0001,0.001,2048,64,4096,1,1,512,0.8888578793074072,0.8888578793074072
0516T234924Z_Zb8qmS,epsilon,0,0.0001,0.2,64,2,4096,1,1,16,0.7195877095974942,0.7195877095974942
0609T225753Z_hton4f,epsilon,3,0.0001,5,1024,256,4096,1,1,512,0.8587701941927959,0.8587701941927959
0610T012733Z_TSqiuh,epsilon,4,0.0001,0.5,128,16,4096,1,1,512,0.483895320233367,0.483895320233367
0610T010940Z_wLBMoc,epsilon,4,0.0001,0.002,1,4,4096,1,1,512,0.7257819318082103,0.7257819318082103
0517T002749Z_ycxhCr,epsilon,0,0.0001,0.01,256,8,4096,1,1,16,0.8714973109726156,0.8714973109726156
0517T004154Z_3bvFbk,epsilon,0,0.0001,0.5,64,256,4096,1,1,16,0.6115084668782887,0.6115084668782887
0517T021621Z_Fmxish,epsilon,1,0.0001,0.05,16,32,4096,1,1,16,0.4911611066709439,0.4911611066709439
0610T000144Z_2kbaou,epsilon,3,0.0001,0.002,512,4,4096,1,1,512,0.8889398434747725,0.8889398434747725
0517T021914Z_mDuGy1,epsilon,1,0.0001,0.005,32,32,4096,1,1,16,0.694682041457587,0.694682041457587
0517T005040Z_lw35vY,epsilon,1,0.0001,0.02,1024,1,4096,1,1,16,0.4714219731104519,0.4714219731104519
0517T005953Z_b3ZrCF,epsilon,0,0.0001,5,32,128,4096,1,1,16,0.4863499321821023,0.4771373133173821
0610T001501Z_lOmTic,epsilon,3,0.0001,0.5,4,4,4096,1,1,512,0.7645192149683893,0.7645192149683893
0517T102409Z_ZlbW2F,epsilon,1,0.0001,5,1024,256,4096,1,1,16,0.4736112395844442,0.4735520701592173
0517T011725Z_I8ui7v,epsilon,0,0.0001,0.01,1024,8,4096,1,1,16,0.8714833480144236,0.8714833480144236
0610T111941Z_2qHUgG,epsilon,0,0.0001,20,4,128,4096,1,1,512,0.7958158913758933,0.785337750245731
0517T024800Z_0CrgPO,epsilon,0,0.0001,1,512,1,4096,1,1,16,0.5327352293444654,0.5327352293444654
0517T002702Z_BPQ9AV,epsilon,0,0.0001,0.01,1,128,4096,1,1,16,0.8717771250907701,0.8717771250907701
