runid,dataset,alg,lambd,eta,M,K,T,local_batch,seed,record_intvl,final_loss,best_loss
0603T120702Z_xd2l59,a9a,0,0.001,50.0,2048,4,4096,1,1,512,6.92083334701333,1.1451013886529906
0602T205022Z_mIAowh,a9a,-1,0.001,0.01,128,1,4096,1,1,512,0.33606886795536245,0.3355404338438671
0603T121308Z_tH1cuS,a9a,1,0.001,0.0002,4,4,4096,1,1,512,0.4409006898787105,0.4409006898787105
0603T134430Z_gnp7v8,a9a,-1,0.001,0.0005,2,4,4096,1,1,512,0.3824992583302646,0.3824992583302646
0602T205305Z_geDxk3,a9a,0,0.001,1.0,2,256,4096,1,1,512,1.0808462909800565,0.6996297644290421
0602T204804Z_xP3ZOY,a9a,3,0.001,0.05,128,8,4096,1,1,512,0.5275127872270303,0.5275127872270303
0603T134430Z_wFUtSR,a9a,-1,0.001,0.0002,4,4,4096,1,1,512,0.3600800659740349,0.3600800659740349
0603T131206Z_ZeggmL,a9a,-1,0.001,0.005,2048,8,4096,1,1,512,0.3334751130833509,0.3333903847924106
0602T204834Z_mbqN9w,a9a,2,0.001,0.01,4,64,4096,1,1,512,0.3808813908379012,0.3808813908379012
0602T204903Z_1TWx2O,a9a,3,0.001,0.002,4,256,4096,1,1,512,1.1323976668801987,1.1323976668801987
0602T204746Z_nZIiuu,a9a,3,0.001,0.01,64,256,4096,1,1,512,1.0857541393707086,1.0857541393707086
0602T224353Z_p49xdJ,a9a,4,0.001,0.5,2,128,4096,1,1,512,0.4428472001775533,0.43040764322764974
0602T224410Z_hVrKQ7,a9a,4,0.001,1.0,64,512,4096,1,1,512,0.4961898161512821,0.4961898161512821
0602T204733Z_M45162,a9a,3,0.001,0.2,128,512,4096,1,1,512,0.8635498523935056,0.8635498523935056
0602T212815Z_cSCXVz,a9a,3,0.001,0.001,4096,2,4096,1,1,512,0.8434793921206882,0.8434793921206882
0602T204737Z_hrbexY,a9a,3,0.001,0.001,32,256,4096,1,1,512,1.1385513631001598,1.1385513631001598
0603T121011Z_pg56KD,a9a,4,0.001,0.0005,256,128,4096,1,1,512,1.0505274068942088,1.0505274068942088
0602T204958Z_sl2k4Q,a9a,2,0.001,0.02,256,512,4096,1,1,512,0.37510325340476425,0.37510325340476425
0602T224300Z_khcaup,a9a,4,0.001,0.5,4,512,4096,1,1,512,0.5818955382615469,0.5818955382615469
0603T121256Z_lZ6Tzf,a9a,3,0.001,20.0,1,1,4096,1,1,512,39.42497370600777,1.1451013886529824
0602T205037Z_dT3XSW,a9a,3,0.001,0.001,1,8,4096,1,1,512,0.9938464789636444,0.9938464789636444
0602T205242Z_bj2ygy,a9a,-1,0.001,0.001,1024,64,4096,1,1,512,0.33404838017152994,0.33404838017152994
0602T205032Z_hkVDtL,a9a,1,0.001,2.0,64,1,4096,1,1,512,0.39180022277150095,0.39180022277150095
0603T134450Z_I0bOTj,a9a,-1,0.001,0.0002,4,32,4096,1,1,512,0.36012322486488235,0.36012322486488235
0602T214532Z_twOG9X,a9a,1,0.001,0.1,2048,64,4096,1,1,512,0.3341303920775648,0.33402064949600035
0603T134433Z_9WWty3,a9a,-1,0.001,0.0002,32,64,4096,1,1,512,0.3491092333601741,0.3491092333601741
0602T204740Z_gmTifC,a9a,2,0.001,1.0,2,256,4096,1,1,512,1.0959867055270656,0.7239883837714771
0602T205139Z_BUhT7L,a9a,2,0.001,10.0,512,1,4096,1,1,512,1.3377075085614445,0.6499225436417697
0602T204816Z_1B1mtM,a9a,3,0.001,0.01,1,4,4096,1,1,512,0.665146901645129,0.665146901645129
0603T131206Z_j3zGIf,a9a,-1,0.001,0.005,4096,8,4096,1,1,512,0.33361008337797105,0.33338707614336616
0602T213057Z_M77zMF,a9a,3,0.001,0.05,2048,16,4096,1,1,512,0.6355974885975539,0.6355974885975539
0602T213741Z_fDWx6o,a9a,0,0.001,0.005,4096,32,4096,1,1,512,0.5624363647086088,0.5624363647086088
0602T204729Z_GNdCqd,a9a,-1,0.001,0.002,2,512,4096,1,1,512,0.5546806479396378,0.4978170005641179
0602T224405Z_Zo8UNC,a9a,4,0.001,0.005,256,512,4096,1,1,512,1.0779646829971117,1.0779646829971117
0602T205050Z_Ojjj8h,a9a,0,0.001,0.005,2,8,4096,1,1,512,0.5558486413972122,0.5558486413972122
0602T204748Z_VqzG5O,a9a,-1,0.001,0.02,8,32,4096,1,1,512,0.40113660559057385,0.3961392205592998
0602T224124Z_X0Gkgg,a9a,4,0.001,0.1,128,2,4096,1,1,512,0.3365274274934329,0.3365274274934329
0603T121825Z_iiNYcd,a9a,3,0.001,10.0,32,512,4096,1,1,512,1.014548173399609,0.8331323054242982
0602T204747Z_AXhiLz,a9a,1,0.001,1.0,64,64,4096,1,1,512,0.5042993254710467,0.5042993254710467
0602T224237Z_0WGyeW,a9a,4,0.001,0.5,256,32,4096,1,1,512,0.3346781249606623,0.3346781249606623
0602T224220Z_X7yAZc,a9a,4,0.001,2.0,1024,4,4096,1,1,512,0.34577710392419936,0.3348377176694726
0603T120857Z_2ESdWg,a9a,3,0.001,50.0,4096,1,4096,1,1,512,11.92994978289352,1.1451013886529824
0602T204946Z_188Evf,a9a,-1,0.001,2.0,8,1,4096,1,1,512,1.7995664535444993,1.1451013886529826
0602T224310Z_3dz5MB,a9a,4,0.001,0.2,64,256,4096,1,1,512,0.5469555127324404,0.5469555127324404
0602T224243Z_6bJBiR,a9a,4,0.001,0.001,4,256,4096,1,1,512,1.0939370510034974,1.0939370510034974
0602T204801Z_EunN7V,a9a,1,0.001,5.0,2,8,4096,1,1,512,9.71446287887367,1.1451013886529824
0602T204736Z_hbBJy7,a9a,-1,0.001,0.001,8,32,4096,1,1,512,0.3449332329957214,0.34005299234787617
0602T204752Z_Lm3nQ5,a9a,2,0.001,0.002,512,256,4096,1,1,512,0.5064308546109211,0.5064308546109211
0602T204917Z_iENdtM,a9a,-1,0.001,1.0,256,128,4096,1,1,512,5.8278570135446275,1.1451013886529842
0602T204858Z_Mn3SZR,a9a,0,0.001,0.01,16,128,4096,1,1,512,0.4622169171148594,0.4622169171148594
0602T205307Z_RMOE3c,a9a,1,0.001,5.0,512,1,4096,1,1,512,0.9214333203374864,0.5244703279225154
0602T214336Z_5CnCJN,a9a,3,0.001,0.1,8192,256,4096,1,1,512,0.8654104907010941,0.8654104907010941
0602T224133Z_dR8sMl,a9a,4,0.001,0.5,64,4,4096,1,1,512,0.33942116706086706,0.3374966625579067
0602T204733Z_7b0v9Y,a9a,3,0.001,10.0,4,32,4096,1,1,512,2.4599023592409504,0.6643056085592747
0602T204915Z_SJc9Ju,a9a,2,0.001,2.0,128,512,4096,1,1,512,1.1600856688041876,0.989817473786982
0602T204915Z_mwMoJK,a9a,1,0.001,2.0,32,128,4096,1,1,512,1.0467567135777889,0.9375510417643128
0603T131206Z_sz3Kf1,a9a,-1,0.001,0.2,8192,2,4096,1,1,512,0.3338063316014895,0.33374186889927193
0602T204845Z_wAYr8r,a9a,-1,0.001,5.0,2,128,4096,1,1,512,15.112774285919,1.1451013886529824
0603T133729Z_ms2bFy,a9a,-1,0.001,0.5,2048,256,4096,1,1,512,4.2397324412578765,1.1451013886529906
0603T134433Z_ufUODw,a9a,-1,0.001,0.0001,32,128,4096,1,1,512,0.3790982656772013,0.3790982656772013
0603T121148Z_L7ah6m,a9a,0,0.001,20.0,16,128,4096,1,1,512,9.152403914209756,1.1451013886529824
0602T214235Z_6Txfwt,a9a,0,0.001,0.2,4096,1,4096,1,1,512,0.3375977309275617,0.3375977309275617
0602T204727Z_GA8RuQ,a9a,3,0.001,0.01,64,128,4096,1,1,512,1.0383642526010826,1.0383642526010826
0602T204800Z_ODovGc,a9a,3,0.001,0.5,64,4,4096,1,1,512,0.3427748422044319,0.3427748422044319
